,"Trade Date","Order ID","Action","Sym/Description",,,"Qty","Price","Comm","Amount"
,,,,"SETTLEMENT DATE: 01/12/2015","",,,,,
,"01/07/2015","ABUL5363","Buy","SYMBOL: STX","STX",,30,63.95,2.5,-1921
,,,,"SEAGATE TECHNOLOGY PLC","",,,,,
,,,,"SETTLEMENT DATE: 01/12/2015","",,,,,
,"01/07/2015","ABUL5094","Sell","SYMBOL: STX","STX",,30,63.22,2.51,1894.04
,,,,"SEAGATE TECHNOLOGY PLC","",,,,,
,,,,"SETTLEMENT DATE: 01/12/2015","",,,,,
,"01/07/2015","ABUL5061","Buy","SYMBOL: STX","STX",,30,63.61,2.5,-1910.8
,,,,"SEAGATE TECHNOLOGY PLC","",,,,,
,,,,"SETTLEMENT DATE: 01/12/2015","",,,,,
,"01/07/2015","ABUL5033","Buy","SYMBOL: LNCO","LNC",,150,11.58,2.5,-1739.5
,,,,"LINNCO LLC","",,,,,
,,,,"SETTLEMENT DATE: 01/12/2015","",,,,,
,"01/06/2015","ABUL4235","Sell","SYMBOL: PF","PF",,50,34.58,2.51,1726.45
,,,,"PINNACLE FOODS INC DE","",,,,,
,,,,"SETTLEMENT DATE: 01/09/2015","",,,,,
,"01/06/2015","ABUL3552","Buy","SYMBOL: JKS","JKS",,100,17.9,2.5,-1792.5
,,,,"JINKOSOLAR HOLDING COMPANY LTD SPONSORED","",,,,,
,,,,"ADR","",,,,,
,,,,"SETTLEMENT DATE: 01/09/2015","",,,,,
,"01/06/2015","ABUL3679","Buy","SYMBOL: FCX","FCX",,90,22.68,2.5,-2043.7
,,,,"FREEPORT MCMORAN INC","",,,,,
,,,,"SETTLEMENT DATE: 01/09/2015","",,,,,
,"01/06/2015","ABUL3598","Buy","SYMBOL: UNG","UNG",,40,14.69,2.5,-590.1
,,,,"UNITED STATES NAT GAS FUND PAR $0.001","",,,,,
,,,,"LTD PARTNERSHIP","",,,,,
,,,,"SETTLEMENT DATE: 01/09/2015","",,,,,
,"01/06/2015","ABUL3689","Buy","SYMBOL: EMC","EMC",,70,28.75,2.5,-2015
,,,,"E M C CORP MASS","",,,,,
,,,,"SETTLEMENT DATE: 01/09/2015","",,,,,
,"01/06/2015","ABUL3704","Buy","SYMBOL: BSX","BSX",,100,13.61,2.5,-1363.5
,,,,"BOSTON SCIENTIFIC CORP","",,,,,
,,,,"SETTLEMENT DATE: 01/09/2015","",,,,,
,"01/06/2015","ABUL3651","Buy","SYMBOL: NLY","NLY",,150,10.94,2.5,-1643.5
,,,,"ANNALY CAPITAL MANAGEMENT INC","",,,,,
,,,,"SETTLEMENT DATE: 01/09/2015","",,,,,
,"01/06/2015","ABUL3637","Buy","SYMBOL: PF","PF",,50,34.76,2.5,-1740.5
,,,,"PINNACLE FOODS INC DE","",,,,,
,,,,"SETTLEMENT DATE: 01/09/2015","",,,,,
,"01/06/2015","ABUL1287","Sell","SYMBOL: CL","CL",,30,68.21,2.51,2043.74
,,,,"COLGATE-PALMOLIVE COMPANY","",,,,,
,,,,"SETTLEMENT DATE: 01/09/2015","",,,,,
,"01/06/2015","ABUL1298","Sell","SYMBOL: EMC","EMC",,50,29.03,2.51,1448.95
,,,,"E M C CORP MASS","",,,,,
,,,,"SETTLEMENT DATE: 01/09/2015","",,,,,
,"01/05/2015","ABUL1538","Buy","SYMBOL: JMEI","JME",,40,14.41,2.5,-578.9
,,,,"JUMEI INTL HLDG LTD SPONS ADR CL A","",,,,,
,,,,"SETTLEMENT DATE: 01/08/2015","",,,,,
,"01/05/2015","ABUL1306","Sell","SYMBOL: JMEI","JME",,100,14.39,2.51,1436.45
,,,,"JUMEI INTL HLDG LTD SPONS ADR CL A","",,,,,
,,,,"SETTLEMENT DATE: 01/08/2015","",,,,,
,"01/05/2015","ABUL1249","Buy","SYMBOL: JKS","JKS",,100,19.33,2.5,-1935.5
,,,,"JINKOSOLAR HOLDING COMPANY LTD SPONSORED","",,,,,
,,,,"ADR","",,,,,
,,,,"SETTLEMENT DATE: 01/08/2015","",,,,,
,"01/05/2015","ABUL1260","Buy","SYMBOL: CL","CL",,30,68.6,2.5,-2060.5
,,,,"COLGATE-PALMOLIVE COMPANY","",,,,,
,,,,"SETTLEMENT DATE: 01/08/2015","",,,,,
,"01/05/2015","ABUL1254","Buy","SYMBOL: EMC","EMC",,50,29.39,2.5,-1472
,,,,"E M C CORP MASS","",,,,,
,,,,"SETTLEMENT DATE: 01/08/2015","",,,,,
,"01/05/2015","ABUL0771","Buy","SYMBOL: JMEI","JME",,100,14.45,2.5,-1447.5
,,,,"JUMEI INTL HLDG LTD SPONS ADR CL A","",,,,,
,,,,"SETTLEMENT DATE: 01/08/2015","",,,,,
,"01/05/2015","ABUJ1408","Sell","SYMBOL: AA","AA",,150,15.27,2.52,2287.92
,,,,"ALCOA INC","",,,,,
,,,,"SETTLEMENT DATE: 01/08/2015","",,,,,
,"12/29/2014","ABUJ3668","Sell","SYMBOL: USO","USO",,50,20.49,2.51,1021.96
,,,,"UNITED STATES OIL FUND LTD PARTNERSHIP","",,,,,
,,,,"SETTLEMENT DATE: 01/02/2015","",,,,,
,"12/23/2014",,"DIVIDEND PAYMENT","SYMBOL: JNPR","JNP",,50,0,0,5
,,,,"JUNIPER NETWORKS INC 122314 50","",,,,,
,,,,"SETTLEMENT DATE: 12/23/2014","",,,,,
,"12/22/2014","ABUJ0882","Sell","SYMBOL: BTU","BTU",,200,7.73,2.52,1543.44
,,,,"PEABODY ENERGY CORP","",,,,,
,,,,"SETTLEMENT DATE: 12/26/2014","",,,,,
,"12/19/2014","ABUJ3301","Buy","SYMBOL: UNG","UNG",,70,17.92,2.5,-1256.9
,,,,"UNITED STATES NAT GAS FUND PAR $0.001","",,,,,
,,,,"LTD PARTNERSHIP","",,,,,
,,,,"SETTLEMENT DATE: 12/24/2014","",,,,,
,"12/19/2014",,"DIVIDEND PAYMENT","SYMBOL: WM","WM",,30,0,0,11.25
,,,,"WASTE MANAGEMENT INC DEL 121914 30","",,,,,
,,,,"SETTLEMENT DATE: 12/19/2014","",,,,,
,"12/19/2014",,"DIVIDEND PAYMENT","SYMBOL: GG","GG",,77,0,0,3.85
,,,,"GOLDCORP INC NEW 121914 77","",,,,,
,,,,"SETTLEMENT DATE: 12/19/2014","",,,,,
,"12/18/2014","ABUI9044","Sell","SYMBOL: USO","USO",,50,20.67,2.51,1030.96
,,,,"UNITED STATES OIL FUND LTD PARTNERSHIP","",,,,,
,,,,"SETTLEMENT DATE: 12/23/2014","",,,,,
,"12/18/2014","ABUJ1395","Buy","SYMBOL: USO","USO",,50,21.15,2.5,-1060
,,,,"UNITED STATES OIL FUND LTD PARTNERSHIP","",,,,,
,,,,"SETTLEMENT DATE: 12/23/2014","",,,,,
,"12/18/2014","ABUJ0129","Sell","SYMBOL: RAD","RAD",,200,6.96,2.52,1389.44
,,,,"RITE AID CORP","",,,,,
,,,,"SETTLEMENT DATE: 12/23/2014","",,,,,
,"12/17/2014","ABUI9160","Sell","SYMBOL: RAD","RAD",,200,6,2.52,1197.45
,,,,"RITE AID CORP","",,,,,
,,,,"SETTLEMENT DATE: 12/22/2014","",,,,,
,"12/17/2014","ABUI8373","Sell","SYMBOL: ESV","ESV",,70,27.83,2.51,1945.54
,,,,"ENSCO PLC CL A","",,,,,
,,,,"SETTLEMENT DATE: 12/22/2014","",,,,,
,"12/17/2014","ABUI8621","Buy","SYMBOL: USO","USO",,50,21.69,2.5,-1087
,,,,"UNITED STATES OIL FUND LTD PARTNERSHIP","",,,,,
,,,,"SETTLEMENT DATE: 12/22/2014","",,,,,
,"12/17/2014","ABUI8823","Sell","SYMBOL: MGM","MGM",,150,18.38,2.52,2754.41
,,,,"MGM RESORTS INTL","",,,,,
,,,,"SETTLEMENT DATE: 12/22/2014","",,,,,
,"12/17/2014","ABUI8386","Buy","SYMBOL: MGM","MGM",,50,17.81,2.5,-893
,,,,"MGM RESORTS INTL","",,,,,
,,,,"SETTLEMENT DATE: 12/22/2014","",,,,,
,"12/17/2014","ABUI8327","Buy","SYMBOL: ESV","ESV",,70,29.1,2.5,-2039.5
,,,,"ENSCO PLC CL A","",,,,,
,,,,"SETTLEMENT DATE: 12/22/2014","",,,,,
,"12/17/2014","ABUI8312","Buy","SYMBOL: AA","AA",,150,14.82,2.5,-2225.5
,,,,"ALCOA INC","",,,,,
,,,,"SETTLEMENT DATE: 12/22/2014","",,,,,
,"12/17/2014","ABUI8235","Buy","SYMBOL: BTU","BTU",,200,7.94,2.5,-1590.5
,,,,"PEABODY ENERGY CORP","",,,,,
,,,,"SETTLEMENT DATE: 12/22/2014","",,,,,
,"12/17/2014","ABUI7902","Buy","SYMBOL: MGM","MGM",,100,17.95,2.5,-1797.5
,,,,"MGM RESORTS INTL","",,,,,
,,,,"SETTLEMENT DATE: 12/22/2014","",,,,,
,"12/16/2014","ABUI6792","Buy","SYMBOL: RAD","RAD",,200,5.83,2.5,-1168.5
,,,,"RITE AID CORP","",,,,,
,,,,"SETTLEMENT DATE: 12/19/2014","",,,,,
,"12/16/2014","ABUI6276","Buy","SYMBOL: RAD","RAD",,200,5.78,2.5,-1158.5
,,,,"RITE AID CORP","",,,,,
,,,,"SETTLEMENT DATE: 12/19/2014","",,,,,
,"12/16/2014","ABUI6187","Sell","SYMBOL: RAD","RAD",,300,5.81,2.54,1740.42
,,,,"RITE AID CORP","",,,,,
,,,,"SETTLEMENT DATE: 12/19/2014","",,,,,
,"12/16/2014","ABUI6166","Buy","SYMBOL: RAD","RAD",,300,5.85,2.5,-1757.5
,,,,"RITE AID CORP","",,,,,
,,,,"SETTLEMENT DATE: 12/19/2014","",,,,,
,"12/16/2014","ABUI4104","Sell","SYMBOL: UNG","UNG",,160,18.64,2.52,2979.81
,,,,"UNITED STATES NAT GAS FUND PAR $0.001","",,,,,
,,,,"LTD PARTNERSHIP","",,,,,
,,,,"SETTLEMENT DATE: 12/19/2014","",,,,,
,"12/15/2014","ABUI3848","Sell","SYMBOL: PF","PF",,35,34,2.51,1187.46
,,,,"PINNACLE FOODS INC DE","",,,,,
,,,,"SETTLEMENT DATE: 12/18/2014","",,,,,
,"12/15/2014","ABUI3921","Buy","SYMBOL: UNG","UNG",,50,19.32,2.5,-968.5
,,,,"UNITED STATES NAT GAS FUND PAR $0.001","",,,,,
,,,,"LTD PARTNERSHIP","",,,,,
,,,,"SETTLEMENT DATE: 12/18/2014","",,,,,
,"12/15/2014",,"DIVIDEND PAYMENT","SYMBOL: IPG","IPG",,100,0,0,9.5
,,,,"INTERPUBLIC GROUP COMPANY INC","",,,,,
,,,,"121514 100","",,,,,
,,,,"SETTLEMENT DATE: 12/15/2014","",,,,,
,"12/15/2014",,"DIVIDEND PAYMENT","SYMBOL: ABX","ABX",,100,0,0,5
,,,,"BARRICK GOLD CORP 121514 100","",,,,,
,,,,"SETTLEMENT DATE: 12/15/2014","",,,,,
,"12/15/2014",,"DIVIDEND PAYMENT","SYMBOL: AEM","AEM",,100,0,0,8
,,,,"AGNICO-EAGLE MINES LTD 121514 100","",,,,,
,,,,"SETTLEMENT DATE: 12/15/2014","",,,,,
,"12/12/2014","ABUG7321","Sell","SYMBOL: WM","WM",,30,48.45,2.51,1450.95
,,,,"WASTE MANAGEMENT INC DEL","",,,,,
,,,,"SETTLEMENT DATE: 12/17/2014","",,,,,
,"12/12/2014","ABUI1543","Sell","SYMBOL: SD","SD",,500,1.66,2.56,827.42
,,,,"SANDRIDGE ENERGY INC","",,,,,
,,,,"SETTLEMENT DATE: 12/17/2014","",,,,,
,"12/12/2014","ABUF6904","Sell","SYMBOL: BBRY","BBR",,100,10.01,2.51,998.46
,,,,"BLACKBERRY LTD","",,,,,
,,,,"SETTLEMENT DATE: 12/17/2014","",,,,,
,"12/12/2014","ABUH9679","Sell","SYMBOL: CMCSA","CMC",,40,55.13,2.52,2202.63
,,,,"COMCAST CORP CL A NEW","",,,,,
,,,,"SETTLEMENT DATE: 12/17/2014","",,,,,
,"12/11/2014","ABUH9565","Buy","SYMBOL: UNG","UNG",,40,18.57,2.5,-745.3
,,,,"UNITED STATES NAT GAS FUND PAR $0.001","",,,,,
,,,,"LTD PARTNERSHIP","",,,,,
,,,,"SETTLEMENT DATE: 12/16/2014","",,,,,
,"12/11/2014","ABUH9624","Buy","SYMBOL: CMCSA","CMC",,40,55.99,2.5,-2242.1
,,,,"COMCAST CORP CL A NEW","",,,,,
,,,,"SETTLEMENT DATE: 12/16/2014","",,,,,
,"12/11/2014","ABUH9440","Sell","SYMBOL: VXX","VXX",,50,29.3,2.51,1462.45
,,,,"BARCLAYS BANK PLC IPATH S&P 500 VIX SHORT","",,,,,
,,,,"TERM ETN NEW","",,,,,
,,,,"SETTLEMENT DATE: 12/16/2014","",,,,,
,"12/11/2014",,"DIVIDEND PAYMENT","SYMBOL: MSFT","MSF",,50,0,0,15.5
,,,,"MICROSOFT CORP 121114 50","",,,,,
,,,,"SETTLEMENT DATE: 12/11/2014","",,,,,
,"12/10/2014","ABUH5509","Sell","SYMBOL: GAS","GAS",,42,52.49,2.51,2202.02
,,,,"AGL RESOURCES INC","",,,,,
,,,,"SETTLEMENT DATE: 12/15/2014","",,,,,
,"12/10/2014","ABUH4369","Sell","SYMBOL: CERN","CER",,30,62.85,2.51,1882.94
,,,,"CERNER CORP","",,,,,
,,,,"SETTLEMENT DATE: 12/15/2014","",,,,,
,"12/10/2014","ABUH5520","Sell","SYMBOL: JMEI","JME",,50,14.56,2.51,725.47
,,,,"JUMEI INTL HLDG LTD SPONS ADR CL A","",,,,,
,,,,"SETTLEMENT DATE: 12/15/2014","",,,,,
,"12/09/2014","ABUH6141","Buy","SYMBOL: SD","SD",,500,2.18,2.5,-1092.5
,,,,"SANDRIDGE ENERGY INC","",,,,,
,,,,"SETTLEMENT DATE: 12/12/2014","",,,,,
,"12/09/2014","ABUH4372","Sell","SYMBOL: TSL","TSL",,150,9.1,2.52,1362.44
,,,,"TRINA SOLAR LTD SPONSORED ADR","",,,,,
,,,,"SETTLEMENT DATE: 12/12/2014","",,,,,
,"12/09/2014","ABUH5476","Buy","SYMBOL: UNG","UNG",,70,18.635,2.5,-1306.95
,,,,"UNITED STATES NAT GAS FUND PAR $0.001","",,,,,
,,,,"LTD PARTNERSHIP","",,,,,
,,,,"SETTLEMENT DATE: 12/12/2014","",,,,,
,"12/09/2014","ABUG7567","Sell","SYMBOL: JNPR","JNP",,50,21.45,2.52,1069.95
,,,,"JUNIPER NETWORKS INC","",,,,,
,,,,"SETTLEMENT DATE: 12/12/2014","",,,,,
,"12/08/2014","ABUG9798","Sell","SYMBOL: JMEI","JME",,80,15.97,2.51,1275.06
,,,,"JUMEI INTL HLDG LTD SPONS ADR CL A","",,,,,
,,,,"SETTLEMENT DATE: 12/11/2014","",,,,,
,"12/08/2014","ABUH4363","Buy","SYMBOL: CERN","CER",,30,64.03,2.5,-1923.4
,,,,"CERNER CORP","",,,,,
,,,,"SETTLEMENT DATE: 12/11/2014","",,,,,
,"12/08/2014","ABUG5410","Sell","SYMBOL: CBS","CBS",,40,53.96,2.51,2155.84
,,,,"CBS CORP NEW CL B","",,,,,
,,,,"SETTLEMENT DATE: 12/11/2014","",,,,,
,"12/08/2014","ABUH3743","Sell","SYMBOL: IPG","IPG",,100,20.365,2.51,2033.94
,,,,"INTERPUBLIC GROUP COMPANY INC","",,,,,
,,,,"SETTLEMENT DATE: 12/11/2014","",,,,,
,"12/08/2014","ABUH3778","Buy","SYMBOL: TSL","TSL",,150,9.83,2.5,-1477
,,,,"TRINA SOLAR LTD SPONSORED ADR","",,,,,
,,,,"SETTLEMENT DATE: 12/11/2014","",,,,,
,"12/08/2014","ABUG7954","Sell","SYMBOL: X","X",,70,30.91,2.51,2161.14
,,,,"UNITED STATES STEEL CORP NEW","",,,,,
,,,,"SETTLEMENT DATE: 12/11/2014","",,,,,
,"12/08/2014","ABUG9768","Buy","SYMBOL: JMEI","JME",,50,16.84,2.5,-844.5
,,,,"JUMEI INTL HLDG LTD SPONS ADR CL A","",,,,,
,,,,"SETTLEMENT DATE: 12/11/2014","",,,,,
,"12/08/2014","ABUG9786","Sell","SYMBOL: HAL","HAL",,50,39.51,2.51,1972.94
,,,,"HALLIBURTON COMPANY","",,,,,
,,,,"SETTLEMENT DATE: 12/11/2014","",,,,,
,"12/08/2014","ABUH1971","Sell","SYMBOL: UNG","UNG",,100,18.73,2.52,1870.43
,,,,"UNITED STATES NAT GAS FUND PAR $0.001","",,,,,
,,,,"LTD PARTNERSHIP","",,,,,
,,,,"SETTLEMENT DATE: 12/11/2014","",,,,,
,"12/08/2014","ABUC8908","Sell","SYMBOL: EDU","EDU",,50,21.18,2.51,1056.46
,,,,"NEW ORIENTAL EDUCATION & TECHNOLOGY GROUP INC","",,,,,
,,,,"SPONSORED ADR","",,,,,
,,,,"SETTLEMENT DATE: 12/11/2014","",,,,,
,"12/05/2014","ABUH2274","Buy","SYMBOL: VXX","VXX",,50,26.15,2.5,-1310
,,,,"BARCLAYS BANK PLC IPATH S&P 500 VIX SHORT","",,,,,
,,,,"TERM ETN NEW","",,,,,
,,,,"SETTLEMENT DATE: 12/10/2014","",,,,,
,"12/05/2014","ABUH1817","Buy","SYMBOL: UNG","UNG",,100,19.24,2.5,-1926.5
,,,,"UNITED STATES NAT GAS FUND PAR $0.001","",,,,,
,,,,"LTD PARTNERSHIP","",,,,,
,,,,"SETTLEMENT DATE: 12/10/2014","",,,,,
,"12/05/2014","ABUG7605","Sell","SYMBOL: VXX","VXX",,80,25.71,2.51,2054.24
,,,,"BARCLAYS BANK PLC IPATH S&P 500 VIX SHORT","",,,,,
,,,,"TERM ETN NEW","",,,,,
,,,,"SETTLEMENT DATE: 12/10/2014","",,,,,
,"12/05/2014","ABUG7326","Sell","SYMBOL: AEM","AEM",,100,23.42,2.51,2339.43
,,,,"AGNICO-EAGLE MINES LTD","",,,,,
,,,,"SETTLEMENT DATE: 12/10/2014","",,,,,
,"12/05/2014","ABUG3062","Sell","SYMBOL: ABX","ABX",,100,11.71,2.51,1168.46
,,,,"BARRICK GOLD CORP","",,,,,
,,,,"SETTLEMENT DATE: 12/10/2014","",,,,,
,"12/04/2014","ABUG9762","Buy","SYMBOL: JMEI","JME",,80,17.42,2.5,-1396.1
,,,,"JUMEI INTL HLDG LTD SPONS ADR CL A","",,,,,
,,,,"SETTLEMENT DATE: 12/09/2014","",,,,,
,"12/04/2014","ABUG9775","Buy","SYMBOL: HAL","HAL",,50,40.59,2.5,-2032
,,,,"HALLIBURTON COMPANY","",,,,,
,,,,"SETTLEMENT DATE: 12/09/2014","",,,,,
,"12/04/2014","ABUG7749","Sell","SYMBOL: GOGO","GOG",,130,15.97,2.52,2073.53
,,,,"GOGO INC","",,,,,
,,,,"SETTLEMENT DATE: 12/09/2014","",,,,,
,"12/03/2014","ABUG3114","Sell","SYMBOL: GDX","GDX",,115,17.98,2.51,2065.14
,,,,"MARKET VECTORS GOLD MINERS ETF","",,,,,
,,,,"SETTLEMENT DATE: 12/08/2014","",,,,,
,"12/03/2014","ABUG5406","Sell","SYMBOL: BTU","BTU",,150,9.15,2.52,1369.94
,,,,"PEABODY ENERGY CORP","",,,,,
,,,,"SETTLEMENT DATE: 12/08/2014","",,,,,
,"12/03/2014","ABUG7745","Buy","SYMBOL: X","X",,20,32.42,2.5,-650.9
,,,,"UNITED STATES STEEL CORP NEW","",,,,,
,,,,"SETTLEMENT DATE: 12/08/2014","",,,,,
,"12/03/2014","ABUG7554","Buy","SYMBOL: GOGO","GOG",,130,16.37,2.5,-2130.6
,,,,"GOGO INC","",,,,,
,,,,"SETTLEMENT DATE: 12/08/2014","",,,,,
,"12/03/2014","ABUG7601","Buy","SYMBOL: VXX","VXX",,80,26.71,2.5,-2139.3
,,,,"BARCLAYS BANK PLC IPATH S&P 500 VIX SHORT","",,,,,
,,,,"TERM ETN NEW","",,,,,
,,,,"SETTLEMENT DATE: 12/08/2014","",,,,,
,"12/02/2014","ABUG5190","Buy","SYMBOL: BTU","BTU",,150,9.65,2.5,-1450
,,,,"PEABODY ENERGY CORP","",,,,,
,,,,"SETTLEMENT DATE: 12/05/2014","",,,,,
,"12/02/2014","ABUG5208","Buy","SYMBOL: CBS","CBS",,40,54.59,2.5,-2186.1
,,,,"CBS CORP NEW CL B","",,,,,
,,,,"SETTLEMENT DATE: 12/05/2014","",,,,,
,"12/02/2014","ABUG4761","Sell","SYMBOL: SD","SD",,500,2.69,2.56,1342.41
,,,,"SANDRIDGE ENERGY INC","",,,,,
,,,,"SETTLEMENT DATE: 12/05/2014","",,,,,
,"12/01/2014","ABUG2812","Sell","SYMBOL: WY","WY",,40,35.16,2.51,1403.85
,,,,"WEYERHAEUSER COMPANY","",,,,,
,,,,"SETTLEMENT DATE: 12/04/2014","",,,,,
,"12/01/2014","ABUG3426","Buy","SYMBOL: SD","SD",,500,2.45,2.5,-1227.5
,,,,"SANDRIDGE ENERGY INC","",,,,,
,,,,"SETTLEMENT DATE: 12/04/2014","",,,,,
,"12/01/2014","ABUG3288","Buy","SYMBOL: X","X",,50,31.12,2.5,-1558.5
,,,,"UNITED STATES STEEL CORP NEW","",,,,,
,,,,"SETTLEMENT DATE: 12/04/2014","",,,,,
,"12/01/2014","ABUG3210","Buy","SYMBOL: PF","PF",,35,33.82,2.5,-1186.2
,,,,"PINNACLE FOODS INC DE","",,,,,
,,,,"SETTLEMENT DATE: 12/04/2014","",,,,,
,"12/01/2014","ABUG3023","Buy","SYMBOL: GDX","GDX",,115,19,2.5,-2187.5
,,,,"MARKET VECTORS GOLD MINERS ETF","",,,,,
,,,,"SETTLEMENT DATE: 12/04/2014","",,,,,
,"11/28/2014","ABUE3274","Sell","SYMBOL: GDX","GDX",,80,18.63,2.51,1487.85
,,,,"MARKET VECTORS GOLD MINERS ETF","",,,,,
,,,,"SETTLEMENT DATE: 12/03/2014","",,,,,
,"11/28/2014",,"RETIREMENT ACCT FEE","RETIREMENT ACCT FEE","",,0,0,0,-35
,"11/28/2014",,"DIVIDEND PAYMENT","SYMBOL: GG","GG",,77,0,0,3.85
,,,,"GOLDCORP INC NEW 112814 77","",,,,,
,,,,"SETTLEMENT DATE: 11/28/2014","",,,,,
,"11/26/2014","ABUF3989","Sell","SYMBOL: USO","USO",,77,27.9,2.51,2145.74
,,,,"UNITED STATES OIL FUND LTD PARTNERSHIP","",,,,,
,,,,"SETTLEMENT DATE: 12/02/2014","",,,,,
,"11/26/2014",,"DIVIDEND PAYMENT","SYMBOL: WY","WY",,80,0,0,23.2
,,,,"WEYERHAEUSER COMPANY 112614 80","",,,,,
,,,,"SETTLEMENT DATE: 11/26/2014","",,,,,
,"11/26/2014",,"DIVIDEND PAYMENT","SYMBOL: BTU","BTU",,300,0,0,25.5
,,,,"PEABODY ENERGY CORP 112614 300","",,,,,
,,,,"SETTLEMENT DATE: 11/26/2014","",,,,,
,"11/25/2014","ABUF6626","Buy","SYMBOL: BBRY","BBR",,100,10.42,2.5,-1044.5
,,,,"BLACKBERRY LTD","",,,,,
,,,,"SETTLEMENT DATE: 12/01/2014","",,,,,
,"11/25/2014","ABUF4996","Buy","SYMBOL: JNPR","JNP",,50,22.02,2.5,-1103.5
,,,,"JUNIPER NETWORKS INC","",,,,,
,,,,"SETTLEMENT DATE: 12/01/2014","",,,,,
,"11/24/2014","ABUF3961","Sell","SYMBOL: MSFT","MSF",,50,47.77,2.51,2385.93
,,,,"MICROSOFT CORP","",,,,,
